Identifiant_Site,Nom_Site,cluster
200000534,Vaulx en Velin_Contre-halage Pont Sucrerie_ID947-948_3G_,0
200000535,Lyon 7_Pont Raymond Barre_ID926-927_3G_,1
200000536,Meyzieu_Pont Herbens_ID953-954_3G_,3
200000538,Vaulx en Velin_Halage Hippodrome_Jara_ID943-944_3G_,1
200000598,Villeurbanne_Pont de Croix-Luizet_ID941-942_3G_,0
200000607,Marcq-en-Baroeul VVV,0
200000609,Marquette-lez-Lille VVV,1
200000611,Beaumetz les loges,3
200000612,Conchil Le Temple,3
200000613,Eleu dit leauwette,3
200000614,Etaples,3
200000615,Groffliers,2
200000616,Neufchatel Hardelot,3
200000617,Wittes,3
200000618,Armentières Bd Faidherbe côté Nord,0
200000619,Armentières Bd Faidherbe côté Sud,1
200000620,Bondues,0
200000621,Capinghem direction La Chapelle Armentières,0
200000622,Capinghem direction Lomme,1
200000623,Comines,0
200000624,Croix,1
200000625,Fretin,1
200000626,Haubourdin direction Haubourdin,1
200000627,Haubourdin direction Loos,1
200000628,Herlies,3
200000630,LIL - GdBoulevard,1
200000631,LIL-CORB-01-Vers Lille Flandres,1
200000632,LIL-CORB-02-Vers Lille Europe,1
200000633,Lille façade de l'Esplanade,1
200000634,Lézennes côté Buffalo,1
200000635,Lézennes côté Darty,1
200000636,Mons En Baroeul,1
200000637,Roncq direction Halluin,1
200000638,Roncq direction Roncq centre,1
200000639,Roubaix  Av. Gustave Delory direction parc Barbieu,1
200000640,Roubaix Av Des Nations Unies côté collège,1
200000641,Roubaix Av Des Nations Unies côté espace Grand Rue,1
200000642,Roubaix Av. Gustave Delory direction Hem,1
200000643,Séclin coté impair,1
200000644,Séclin coté pair,0
200000645,Tourcoing Av Allende sens descendant,1
200000646,Tourcoing Av Allende sens montant,1
200000647,Tourcoing Rue de Roubaix,1
200000648,Villeneuve d'Ascq 8 Mai 1945,1
200000649,Villeneuve d'Ascq Bd Van Gogh,0
200000650,Wambrechies direction Quesnoy,0
200000651,Wambrechies direction Wambrechies,1
200000653,Bouxwiller,2
200000654,Innenheim,3
200000655,Mietesheim,3
200000656,Morsbronn,3
200000657,Thanvillé,3
200000658,Piriac-sur-Mer,2
200000659,Saint Léger les Vignes,3
200000660,Voie verte Cambaie,1
200000662,RN1A Petite Ravine,1
200000663,RN1A Le Souffleur,1
200000665,RN2 Le Baril,3
200000666,RN2 Saint Benoit Plaines Est,3
200000667,RN2 Saint Benoit Plaines Ouest,3
200000668,RN2002 Bras Panon Nord,1
200000669,RN2002 Ste Suzanne La Marine,1
200000670,Voie verte Gillot,1
200000671,RN6 Bd Sud Gir. Cerf,1
200000672,RN6 Bd Sud Digue Finette,1
200000673,RN6 Bd Sud Foucques/Foucherolles,1
200000675,GRIMAUD,2
200000677,maison_nature,2
200000679,Castel,2
200000680,Grisolles,2
200000681,MontechN,2
200000682,MontechS,2
200000683,Stnicola,2
200000684,valence,2
200000686,01_Piste cyclable Ronce-les-Bains,2
200000687,02_La Bouverie,2
200000688,03_Piste cyclable Saint-Palais-sur-Mer,2
200000689,04_piste st georges,2
200000691,06_Meschers,2
200000692,19_Chemin Royan,2
200000693,08_V80_Mortagne,2
200000694,15_La Palmyre-Front de mer,2
200000695,montech est,3
200000696,Gorges de la nesque_RD942PR:54+620 section:V942.54,2
200000697,Charrin,2
200000698,Lyon 8_A.Thomas_Manufacture des Tabacs_ID1049-1050_EVO_,1
200000699,Lyon 8_Pinel_L.Bonnevay _ID1601-1602_3G_,1
200000703,V300 - Véloroutes Perpignan/Thuir  - Ponteilla (Vélos + Piétons),3
200000704,aubisque crêtes blanches,2
200000705,PIRINEXUS - Hôtel Néoulous le Boulou -  (Vélos + Piétons),3
200000707,Salies de Béarn,3
200000708,Laroin,3
200000709,voie verte NAY,2
200000711,la pierre St Martin,2
200000713,Haguenau,3
200000714,Bourdon,2
200000715,Sedan (Glaire),2
200000768,Chemin lacustre (Lido),2
200000769,AVV Eurovia,3
200000770,AVV PN 62-63 (Beaubec),3
200000771,AVV PN 87 (Osmoy),2
200000772,AVV PN99 (Dampierre),3
200000773,VRLIN Gueures,2
200000774,VRLin Pourville,2
200000779,RD 800 03 Cestas,2
200000782,RD 801 03 Salaunes,2
200000783,RD 801 04 Lacanau ville,2
200000784,RD 801 05 Lacanau ocean,2
200000785,RD 802 01 Andernos les Bains,2
200000786,RD 802 02 Lanton,2
200000787,RD 802 03 Mios,2
200000788,RD 802 04 Belin Beliet,2
200000789,RD 802 05 Hostens,2
200000790,RD 802 06 Le Nizan,3
200000791,RD 802 07 Le Nizan / Bazas,3
200000792,RD 802E1-01 Lège Cap Ferret,2
200000794,RD 803 02 Latresne,3
200000795,RD 803 03 Sadirac (Gare),2
200000796,RD 803 04 Créon,2
200000797,RD 803 05 Frontenac,2
200000798,RD 804 01 Le Teich,2
200000799,RD 804 02  La Teste de Buch,2
200000800,RD 804 03 La Teste de Buch (Pyla),2
200000801,RD 804E1 01 La Teste de Buch (Cazaux),3
200000802,RD 805 01 Hostens / St Magne,3
200000803,RD 805 02 Cabanac et Villagrains,3
200000804,RD 805 03 La Bréde,3
200000805,RD 807 01 Le Porge,3
200000806,RD 807 02 Carcans,2
200000807,RD 807 03 Hourtin,2
200000808,RD 808 01 Heyrans (le Pontet),3
200000809,RD 809 01 Castets en Dorthe,2
200000810,RD 810 01 Le Nizan / Roaillan,3
200000811,EV4 Plestin les Grèves,2
200000812,EV4 Hillion,3
200000813,EV4 Fréhel,2
200000814,Saint-Herblon,3
200000815,009- VV Ducey multi,2
200000816,35. Apigné (CR),0
200000817,56. Jn Saint Jouan (CRB),2
200000818,Saint Hippolyte,2
200000820,RD 807E1-01 Le Porge Océan,2
200000821,Machecoul Vélos,3
200000822,AVV PN 77-77bis (Neufchâtel-en-Bray),2
200000823,VVS Harfleur,0
200000824,VVS Parc Villequier,3
200000825,VRLin Offranville,2
200000826,VRLin Saint Pierre le Viger,3
200000827,VRLittoral Cauville-sur-mer,3
200000828,Asnière/Oise,3
200000829,L'Isle Adam,3
200000831,Cocquerel,2
200000832,Long,3
200000833,Bormes (le Trapan),3
200000834,Pont de Fil,1
200000836,Pont Wilson,1
200000837,le juch,3
200000839,DRID_EV4_Plougasnou,2
200000841,V5-route de plouzané,0
200000842,DRID_RD26_Plouguin_PCyUni,3
200000843,pleuven,3
200000844,kerlouan,3
200000845,landeda,2
200000846,V7-Scaër,2
200000850,Arras sur rhone,2
200000851,Saint Georges les bains,2
200000854,Lomme,1
200000856,Vallauris,0
200000857,Villeneuve Loubet,0
200000859,Station d'Aigues-Mortes Malamousque,2
200000861,Station de Comps,2
200000863,Station de Congéniès,3
200000864,Station de Gallician,2
200000866,Station Grau du Roi / Médard,2
200000867,Baix,2
200000868,St Laurent du Pape,2
200000870,56. Ht Grand Barrage (CRB),3
200000871,56. Py Le Gohazé (CRB),3
200000872,56. Re La Potinais (CRB),3
200000873,Gueltas-Coet Prat,2
200000874,Neulliac-Boloré,2
200000875,St Congard-Foveno,2
200000877,05 VV Mesnil Raoult Multi,3
200000878,RD1 Trégunc,3
200000880,Station d'Aramon La Vernède,2
200000881,Plessé vélos,2
200000882,Lille Pont de Fives,1
200000883,Canal du Midi coté Chemin de Halage,2
200000884,Canal du Midi coté restaurant,2
200000885,EV8 SALERNES,3
200000886,HYERES (l'Ayguade),3
200000887,amboise,2
200000888,bléré,2
200000891,006 VV Tessy-sur-vire,2
200000892,Galope Chopine EV3 Baignes,2
200000893,Coulée d'Oc - Chez Maillet,3
200000894,35. Guipry (CRDB),3
200000896,V_Clécy,2
200000897,V_Livarot,3
200000898,V_Thury-harcourt,2
200000899,V_Tracy sur Mer,2
200000901,St Genix,2
200000902,Stambach,2
200000903,Selestat,3
200000904,Schwabwiller,3
200000906,Pont Tramway,1
200000907,Pont Napoléon OUEST,1
200000908,Pont Napoléon EST,1
200000909,La Chapelle Basse mer,3
200000910,Arnéguy,1
200000913,Gare de Robion (EV8),2
200000914,Moutillon (EV8),2
200000915,Senancole Coustellet (EV8),2
200000916,Caderousse Nord (EV17),2
200000922,Bouin quatre vents,3
200000923,Passerelle Cul d'Ane,2
200000924,Talmont Saint Hilaire - Cayola,2
200000926,Sernhac,2
200000927,Bellevue,2
200000928,Mouillepied,2
200000929,Digolet,3
200000930,La Maréchale,3
200000931,Chef de Baie,3
200000932,Canal Maritime,2
200000934,Champagneux GSM Juin 2017,2
200000935,Grez-Neuville,3
200000938,Benolets Juin 2017,2
200000939,La Ravoire GSM Juin 2017,0
200000940,Tournon Juin 2017,2
200000941,Ugine GSM Juin 2017,2
200000942,Villarcher GSM Juin 2017,0
200000943,Sault Brenaz,2
200000944,Apremont,2
200000945,Selles,2
200000946,Planche des belles filles,0
200000949,saulx,0
200000951,Taverny,0
200000952,Gonesse,0
200000966,Merpins,2
200000968,29.Poullaouen(CRT) EV1-V7,2
200000972,Crissey EuroVélo 6,0
200000973,Piste GC,2
200000974,Vétraz-M/  Ecole F. Dolto,1
200000975,Allenjoie,2
200000976,Arbouans,2
200000978,Base_de_loisirs,3
200000980,Dasle,2
200000981,Exincourt,1
200000982,Fesches le Châtel,2
200000985,Prés-la-Rose,1
200000986,Prés-la-rose Passerelle,0
200000990,Vieux Charmond 2016,2
200000992,Chemilly (Multi P/V),3
200000995,Vélodyssée - Bias (Lespecier),2
200000996,Vélodyssée - Biscarrosse (Les Rives),2
200000997,Vélodyssée - Biscarrosse (Vivier),2
200000998,Vélodyssée - Mimizan (piscine),2
200001000,Vélodyssée - Vielle-Saint-Girons (Saint-Girons Plage),2
200001001,Lo camin de Hè - Castets,3
200001002,Vélodyssée - Gastes,2
200001003,Vélodyssée - Ychoux,2
200001004,Vélodyssée - Labenne,2
200001005,La piste du Vignac - Uza,2
200001006,Vélodyssée - Messanges,2
200001007,Vélodyssée - Seignosse,2
200001008,Vélodyssée - Lit et Mixe (Cap de L'Homy),2
200001009,Vélodyssée - Mimizan (les 3 collines),2
200001012,Dommartin,2
200001014,Cappy,2
200001015,Méricourt_sur_Somme,3
200001016,croix de chavaux,1
200001017,Pont Saint Sauveur EST,1
200001018,Pont Saint Sauveur OUEST,1
200001019,Pont Sanitas EST,1
200001020,Pont Sanitas OUEST,1
200001021,ANT-V40-Sud A86,1
200001022,CHT-V40-Perrotin-Est,1
200001023,MAL-V40-Charles de Gaulle-ouest,1
200001024,NAN-V16-V32-V33-Hoche,1
200001025,V6 Loudéac_2,3
200001026,V3 Bétineuc,2
200001029,LACANAU-OCEAN,2
200001030,SOULAC SUR MER,2
200001031,Villeneuve d'Ascq - Parc Urbain,0
200001032,Ecluse de l'Homps,2
200001033,Ecluse de Domergue,2
200001034,Ecluse de St Jean,2
200001035,Pont du diable,2
200001036,Entrée sud Pont J. Richard,0
200001045,Préfailles,3
200001046,Faye-d'Anjou,3
200001050,Pont Noir,1
200001051,Chemin de la digue - Gières,0
200001052,MEY_Chantourne,1
200001053,SMH1,1
200001054,Bouchemaine,3
200001056,Trélazé,3
200001057,Trélazé_Le_bac,3
200001058,cantenay laval,3
200007049,Paris | 28 Boulevard Diderot,1
200036718,Paris | 39 quai François Mauriac,1
200036719,Paris | 18 quai de l'hotel de ville,1
200041488,Paris | 27 Boulevard Diderot,1
200042374,Paris | Voie Georges Pompidou,1
200044493,Paris | 67 boulevard voltaire,1
200044494,Paris | 10 avenue de la Grande Armée,1
200044495,Paris | 7 Avenue de la Grande Armée,1
200044506,Paris | 72 boulevard Voltaire,1
200045818,Rennes | Eco-Display Place de Bretagne,1
200047533,Paris | 89 boulevard de Magenta,1
200047534,Paris | 16 Avenue de la Porte des Ternes,1
200047535,Paris | Pont du Garigliano NO-SE,1
200047536,Paris | 102 boulevard de Magenta,1
200047538,Paris | Face au 16 avenue de la  Porte des Ternes,1
200047539,Paris | 21 Boulevard Auguste Blanqui,1
200047540,Paris | 72 boulevard Richard Lenoir ,1
200047541,Paris | Pont National SO-NE,1
200047542,Paris | Face au 48 quai de la marne,1
200047544,Paris | 77 boulevard Richard Lenoir,1
200047545,Paris | Face 104 rue d'Aubervilliers,1
200047546,Paris | Face au 70 quai de Bercy,1
200047547,Paris | rue Julia Bartet (Voie cyclable coté pair),1
200047548,Paris | Face au 25 quai de l'Oise,1
200047549,Paris | Pont National NE-SO,1
200047550,Paris | 35 Boulevard de Ménilmontant,1
200047551,Paris | Pont du Garigliano,1
200049407,Paris | 152 boulevard du Montparnasse,1
200049408,Paris | 10 boulevard Auguste Blanqui,1
200049673,Ingersheim,3
200049674,Artzenheim,2
200049676,Giratoire Nord (Vélos),1
200049677,Petit Port,0
200049678,Route Départementale 908b (Vélos),1
200049679,Bonne,1
200049680,Chalonnes,2
200049682,Luzoir  gare,3
200049683,Marly-Gomont,3
200049684,Moulin d'Écouffeaux,3
200049685,Passerelle monampteuil,3
200049686,Quierzy,2
200049689,Guise,2
200049690,VLG-V33-Nobel,2
200049691,CB09 Voie Verte W.ROUSSEAU,0
200049692,Voie Verte BD Simone Veil,1
200049694,Magellan vers Ouest (CV0945),1
200049695,Bouaye_cote_maison,0
200049696,Bouaye_cote_stade,1
200049697,Calvaire_vers_Est,1
200049698,De_Gaulle_vers_Nord,1
200049699,De_Gaulle_vers_Sud,1
200049700,Magellan vers EST (CV0946),1
200049701,Pont A. Briand vers Nord,1
200049702,Pont A. Briand vers Sud,1
200049703,Pont des 3 Continents vers Sud,1
200049707,Pont_A_de_Bretagne_Nord_vers_Sud,1
200049709,Pont_Audibert_AMONT_vers_NORD,1
200049710,Pont_Audibert_amont_vers_SUD,1
200049711,Pont_Audibert_AVAL_vers_SUD,1
200049712,Pont_de_Pirmil_vers_Sud (CV0670),1
200049713,Pont_de_Pornic_vers_le_Nord (CV0672),1
200049714,Pont_de_Pornic_vers_le_Sud (CV0673),1
200049715,Pont_Haudaudine_vers_Nord,1
200049716,Pont_Haudaudine_vers_Sud,1
200049717,Pont_WBrandt_vers_Beaulieu,1
200049718,Pont_WBrandt_vers_Malakoff,1
200049719,Stalingrad_vers_Est,1
200049720,Stalingrad_vers_Ouest,1
200049721,Calvaire_vers_Ouest,1
200049722,Libération vers Nord,1
200049723,Libération vers Sud,1
200049724,Magellan vers Est (CV0944),1
200049725,Magellan vers Ouest (CV0943),1
200049726,Philippot_vers_centre,1
200049727,Phillipot_vers_Eboue,1
200049728,La Divatte,3
200049729,V.V DREUILHE,2
200049733,bonnelles,3
200049734,buc,0
200049735,Croissy-sur-Seine,0
200049736,foret de rambouillet,3
200049738,V_Amaye sur Orne,2
200049743,Vernon,2
200049745,Doulcon,2
200049746,Vacherauville,2
200049748,Beaugency,2
200049749,Conflans,3
200049750,Dammarie,2
200049751,Dordives,2
200049752,Ouvrouer les champs,3
200049753,Saint Benoit sur Loire,2
200049754,Saint-Aignan-le-Jaillard,2
200049763,Pont Mirabeau EST,1
200049764,Pont Mirabeau OUEST,1
200049765,Cher à Vélo,3
200049769,Digne les bains,2
200049770,Forcalquier,2
200049771,greoux,0
200049773,volx,2
200049774,Roubaix,0
200049775,VV Haubourdin,3
200049776,Molac,3
200049777,maxey sur meuse,3
200049778,Dinoze stade,2
200049779,col croix moinats,2
200049781,Artzenheim nord,2
200049782,Rouffach,2
200049783,Sierentz,3
200049785,La Loi vélo,2
200049786,5 Santenay,2
200049787,Langres,2
200049789,Antibes,3
200049791,La Turbie,3
200049792,Le Tignet,2
200049793,Mandelieu,3
200049794,Ste Marie de Gosse,3
200049795,Josse Nord,3
200049796,V_Ouistreham,2
200049797,Camon,0
200049798,Epagnette,2
200049799,Ganges,2
200049800,Station de Caveirac,3
200049801,Sumène,2
200049803,Lac d'orthez,3
200049805,DRID_EV4_Morlaix_Le Dourduff,2
200049806,Viviers vélos,2
200049807,Chomérac,2
200049808,Privas Les Mines,2
200049809,Rochemaure vélos,2
200049810,DRID_V7_Concarneau_le vuzut,2
200049811,Grand Chambéry | G04 - Avenue de Lyon,1
200049812,Grand Chambéry | G 06 - Avenue Comte Vert,1
200049813,Viaduc_de_la_Payre,2
200049814,Ruoms vélos,2
200049817,Saint Prix vélos,2
200049818,Saint-Julien-Boutières,2
200049819,St Michel de Chabrillanoux,2
200049820,Grand Chambéry | G 10 - Avenue Marius Berroir,0
200049822,Melle V93,3
200049823,Coulon,3
200049825,St Marc la Lande,2
200049826,St-Martin-de-Sanzay,3
200049827,St-Loup-sur-Thouet,2
200049828,Thouars,2
200049829,T 09 - VV Planeurs,0
200049830,T 13 - La Ravoire Duguesclin,0
200049834,Santes,0
200049836,T 02 - VV Leysse,1
200049837,T 03 - Parc Buisson Rond,0
200049838,T 05 - Avenue de la Boisse,1
200049839,T 07 - Avenue Verte Nord,1
200049840,T 08 - Croix de Bissy,1
200049841,T 01 - Parc du Verney,1
200049843,Paris | Totem 64 Rue de Rivoli,1
200049844,Paris | 87 Avenue de Flandre,1
200049845,Paris | 72 avenue de Flandre,1
200049846,Paris | 97 avenue Denfert Rochereau,1
200049849,Paris | 135 Avenue Daumesnil,1
200050132,Paris | 243 Boulevard Saint Germain,1
200050719,Rennes | Rue d'Isly V1,1
200056039,Paris | 180 Avenue d'Italie,1
200056040,Paris | 129 rue Lecourbe,1
200056041,Paris | 147 avenue d'Italie,1
200056042,Paris | 33 avenue des Champs Elysées,1
200056044,Paris | 132 rue Lecourbe,1
200056045,Paris | Pont de la Concorde N-S,1
200056046,Paris | Pont des Invalides S-N,1
200056047,Paris | Pont de la Concorde S-N,1
200056223,Paris | Pont des Invalides N-S,1
200056226,Paris | Face au 8 avenue de la porte de Charenton,1
200056327,Paris | Face au 4 avenue de la porte de Bagnolet,1
200056329,Paris | Pont Charles De Gaulle,1
200056330,Paris | 36 quai de Grenelle,1
200056331,Paris | Face au 40 quai D'Issy,1
200056332,Paris | Pont de Bercy,1
200056334,Paris | 38 rue Turbigo,1
200056335,Paris | Quai d'Orsay,1
200056336,Paris | 27 quai de la Tournelle,1
200057329,Paris | Totem 85 quai d'Austerlitz,1
200057380,Paris | Totem Cours la Reine,1
200057445,Paris | Totem 73 boulevard de Sébastopol,1
200057447,V_Deauville,2
200057448,EV8 - Sorède (Vélos + Piétons),3
200057449,EV8/VELITTORALE - Canet-en-Roussillon - Vélos,3
200057450,Gétigné,0
200057451,Soudan,3
200057456,Fléville-devant-Nancy,2
200057457,Frouard,2
200057458,Laneuveville-devant-Nancy,0
200057459,Pagny-sur-Moselle,3
200057460,Villey-le-Sec,2
200057461,Les Moulins de Soulaires (RD19.2),2
200057463,St-Christophe (RD145),2
200057464,Trizay-Coutretot-St-Serge (RD112.1),2
200057465,Cuffy,2
200057466,Quincey,2
200057467,Vaivre,2
200057469,V_Sallenelles,2
200057470,ObservaLoire,0
200057472,Quai de la Loire,0
200057473,007 VV Sourdeval,2
200057474,(Echirolles) Digue - Comboire V64,0
200057475,(Fontaine) Digue - Quai du Drac,1
200057476,(Grenoble) Boulevard Maréchal Lyautey,1
200057477,(Grenoble) Stade des Alpes,1
200057478,(Saint Egreve) Digue - VV2 V63,0
200057479,Gare,1
200057480,(Meylan) Mairie / Afficheur,1
200057481,(Grenoble) Av. des jeux olympiques - gre1,1
200057482,(Seyssins) Digue - Passerelle Drac1,1
200057483,(Eybens) Rue P. Mendes France - eyb1,1
200057484,genets,1
200057486,hurepoix,0
200057487,saint aubin,0
200057489,Compiègne,0
200057494,La Neuville en Hez,3
200057495,La Rue Saint Pierre,3
200057497,St Germer de Fly,2
200057504,Pont l'Eveque,2
200057505,Rainvilliers,3
200057507,st jean de col,2
200100192,Baverans,2
200100193,St_Ylie,2
300014585,Villeurbanne_Pont de Cusset_ID2250-2251,1
300014589,Lyon 8_Challemel-Lacour_Champagneux_ID2256-2257,1
300014590,Lyon 3_Mouton Duvernet_Hachette_ID1047-1048_EVO_,1
300014591,Lyon 3_Gambetta_Lacroix_ID380-381_EVO_,1
300014592,Lyon 2_Bellecour_Chambonnet_ID656-657_EVO_,1
300014607,Lyon 3_Quai Augagneur_Bonnel_ET_Berges sous Pont Wilson_EcoDispay Compact_ID524-525-1635-1636_PROB,1
300014623,55 bd Paul Vaillant Couturier,1
300014648,ermenonville,3
300014652,Viaduc du Sully,2
300014769,Vaulx en Velin_Pont de la Soie_ID2252-2253_3G,1
300014836,Quai Valin,1
300014841,Grenoble (Quai de France),1
300014960,Alpe dhuez,0
300014961,Hameau de Paute,2
300014962,Lac Bleu,2
300014963,Minardière,2
300014964,Pont rouge,2
300015003,Bidart Av de Biarritz,2
300015004,Guiche Barthes,3
300015005,Guiche Digue,3
300015018,Passa pais (lautier),2
300015065,Lyon 7_Croix Barret_A.Chollat_SNCF_3G_ID2258-2259,1
300015066,Lyon 6_Pont W.Churchill_ID1783-1784_,1
300015067,Vénissieux_Passerelle Puizot_J.Guesde_ID2149-2150_,1
300015128,Lyon 6_Pont Lafayette_ID802-803,1
300015208,Av JOURDAN Sens Nord / Sud,0
300015211,Bd du Riou Sens Descente,1
300015212,Bd du Riou Sens Montèe,0
300015216,Croisette Port Canto,2
300015218,Gazagnaire,2
300015219,MIDI - DOLLFUS,0
300015221,Royal Palm,2
300015234,Lalacelle,2
300015235,Lonrai,3
300015275,Saint Fons_Pont de Pierre Bénite_3G_ID2254-2255,1
300015304,st brieuc perrieres,0
300015305,Carnot fixe,1
300015323,GERGY MULTI,2
300015324,EPERVANS MULTI,2
300015326,Tournus Nord - Boyer,2
300015336,Centre Hospitalier,3
300015337,St Nizier,3
